cast_info ci,movie_info mi,title t#t.id=ci.movie_id,t.id=mi.movie_id#t.series_years,>,596,t.production_year,>,2001,t.kind_id,<,7,t.phonetic_code,<,14575,ci.role_id,>,2,mi.info_type_id,<,17#1347319
cast_info ci,movie_info mi,title t#t.id=ci.movie_id,t.id=mi.movie_id#t.phonetic_code,<,11442,t.production_year,<,1980,t.series_years,>,393,t.kind_id,<,7,ci.role_id,=,1,mi.info_type_id,=,4#24250
cast_info ci,movie_info mi,title t#t.id=ci.movie_id,t.id=mi.movie_id#t.production_year,>,1996,t.phonetic_code,>,7319,t.series_years,>,588,t.kind_id,<,7,ci.role_id,>,1,mi.info_type_id,=,4#256653
cast_info ci,movie_info mi,title t#t.id=ci.movie_id,t.id=mi.movie_id#t.series_years,<,1166,t.production_year,>,1974,t.kind_id,<,7,t.phonetic_code,<,15017,ci.role_id,>,1,mi.info_type_id,>,105#155
cast_info ci,movie_info mi,title t#t.id=ci.movie_id,t.id=mi.movie_id#t.series_years,<,745,t.production_year,<,2001,t.kind_id,=,7,t.phonetic_code,<,16253,ci.role_id,>,1,mi.info_type_id,>,3#938
movie_info mi,cast_info ci,title t#t.id=mi.movie_id,t.id=ci.movie_id#t.kind_id,=,7,t.series_years,<,1186,t.production_year,<,2011,t.phonetic_code,>,7404,mi.info_type_id,<,3,ci.role_id,=,1#232
movie_info mi,cast_info ci,title t#t.id=mi.movie_id,t.id=ci.movie_id#t.kind_id,<,7,t.series_years,>,708,t.production_year,<,2005,t.phonetic_code,=,5947,mi.info_type_id,<,16,ci.role_id,>,1#30
movie_info mi,cast_info ci,title t#t.id=mi.movie_id,t.id=ci.movie_id#t.kind_id,<,7,t.series_years,<,342,t.production_year,<,2011,t.phonetic_code,<,1746,mi.info_type_id,=,7,ci.role_id,<,2#715
movie_info mi,cast_info ci,title t#t.id=mi.movie_id,t.id=ci.movie_id#t.series_years,>,752,t.kind_id,<,7,t.production_year,>,2005,t.phonetic_code,>,4388,mi.info_type_id,>,2,ci.role_id,=,2#193238
cast_info ci,movie_info mi,title t#t.id=ci.movie_id,t.id=mi.movie_id#t.series_years,>,270,t.kind_id,<,7,t.production_year,>,2012,t.phonetic_code,>,10608,ci.role_id,=,1,mi.info_type_id,=,8#1784
movie_info mi,cast_info ci,title t#t.id=mi.movie_id,t.id=ci.movie_id#t.phonetic_code,>,323,t.production_year,=,2001,t.series_years,>,1039,t.kind_id,<,7,mi.info_type_id,<,3,ci.role_id,>,1#40954
movie_info mi,cast_info ci,title t#t.id=mi.movie_id,t.id=ci.movie_id#t.phonetic_code,<,14648,t.production_year,<,2011,t.kind_id,<,7,t.series_years,=,625,mi.info_type_id,<,3,ci.role_id,=,1#14
cast_info ci,movie_info mi,title t#t.id=ci.movie_id,t.id=mi.movie_id#t.production_year,<,2010,t.series_years,<,917,t.phonetic_code,>,15859,t.kind_id,=,7,ci.role_id,>,2,mi.info_type_id,=,4#35
cast_info ci,movie_info mi,title t#t.id=ci.movie_id,t.id=mi.movie_id#t.kind_id,<,7,t.production_year,<,2011,t.phonetic_code,>,5321,t.series_years,>,477,ci.role_id,=,2,mi.info_type_id,>,107#80
cast_info ci,movie_info mi,title t#t.id=ci.movie_id,t.id=mi.movie_id#t.phonetic_code,<,16746,t.kind_id,<,7,t.series_years,>,139,t.production_year,>,2004,ci.role_id,=,1,mi.info_type_id,>,16#88926
